"date","cases","deaths","new_cases","new_deaths"
7366,104,6,16,3
7367,125,10,21,4
7368,161,12,36,2
7369,228,12,67,0
7370,311,15,83,3
7373,748,26,201,4
7374,1018,31,270,5
7375,1263,37,245,6
7376,1668,43,405,6
7377,2224,50,556,7
7380,4507,91,907,23
7381,5906,117,1399,26
7382,8350,162,2444,45
7383,12393,212,4043,50
7384,18012,277,5619,65
7387,43505,579,10432,121
7388,53938,785,10433,206
7389,68572,1054,14634,269
7390,85570,1353,16998,299
7391,102900,1770,17330,417
7394,163955,3368,21469,650
7395,188461,4304,24506,936
7396,215391,5325,26930,1021
7397,245108,6541,29717,1216
7398,277426,7932,32318,1391
7401,369057,12382,30916,1526
7402,399394,14616,30337,2234
7403,431214,16701,31820,2085
7404,465913,18821,34699,2120
7408,584018,26613,25769,1764
7409,610709,29318,26691,2705
7410,640742,32070,30033,2752
7411,672355,34418,31613,2348
7412,703864,36707,31509,2289
7415,784991,42016,27395,1837
7416,810505,44688,25514,2672
7417,839336,47059,28831,2371
7418,873112,49228,33776,2169
7419,909853,51360,36741,2132
7422,994193,56022,23197,1442
7423,1018846,58416,24653,2394
7424,1045401,60930,26555,2514
7425,1075758,63140,30357,2210
7426,1109728,64902,33970,1762
7429,1187304,68905,21962,1089
7430,1211011,71139,23707,2234
7431,1235519,73847,24508,2708
7432,1263995,75805,28476,1958
7433,1291643,77380,27648,1575
7436,1354449,80747,17621,982
7437,1376749,82400,22300,1653
7438,1397894,84168,21145,1768
7439,1424856,85906,26962,1738
7440,1451093,87499,26237,1593
7443,1515593,90414,21827,846
7444,1536570,91934,20977,1520
7445,1559640,93411,23070,1477
7446,1585373,94722,25733,1311
7447,1609172,96010,23799,1288
7451,1689467,98937,18896,747
7452,1708211,100422,18744,1485
7453,1730723,101622,22512,1200
7454,1755271,102812,24548,1190
7457,1821199,105113,21897,734
7458,1841990,106195,20791,1082
7459,1861977,107184,19987,989
7460,1883593,108192,21616,1008
7461,1912302,109304,28709,1112
7464,1971641,111144,18207,722
7465,1990446,112174,18805,1030
7466,2013298,113103,22852,929
7467,2036500,113980,23202,877
7468,2061993,114759,25493,779
7471,2126574,116216,20117,448
7472,2151459,116985,24885,769
7473,2177114,117746,25655,761
7474,2205173,118473,28059,727
7475,2236009,119171,30836,698
7478,2324879,120334,30466,360
7479,2359939,121167,35060,833
7480,2396928,121934,36989,767
7481,2438101,124400,41173,2466
7482,2483629,125033,45528,633
7485,2604932,126162,39496,347
7486,2653321,127462,48389,1300
7487,2703296,128104,49975,642
7488,2758855,128827,55559,723
7492,2958098,130332,47316,391
7493,3012182,131290,54084,958
7494,3071637,132238,59455,948
7495,3131526,133079,59889,841
7496,3199753,133907,68227,828
7499,3379846,135402,61567,425
7500,3445448,136356,65602,954
7501,3513790,137327,68342,971
7502,3589477,138285,75687,958
7503,3660400,139186,70923,901
7506,3845014,140904,59888,531
7507,3910291,142031,65277,1127
7508,3980030,143167,69739,1136
7509,4050036,144283,70006,1116
7510,4123561,145429,73525,1146
7513,4303735,148449,59181,1696
7514,4366851,149776,63116,1327
7515,4433633,151172,66782,1396
7516,4502581,152433,68948,1261
7517,4571669,153862,69088,1429
7520,4726775,155945,47484,608
7521,4780324,157301,53549,1356
7522,4834047,158554,53723,1253
7523,4891561,159625,57514,1071
7524,4952718,160981,61157,1356
7527,5103611,163023,47173,537
7528,5156968,164474,53357,1451
7529,5211246,165952,54278,1478
7530,5265307,167165,54061,1213
7531,5324784,168341,59477,1176
7534,5455187,170449,37523,534
7535,5498420,171798,43233,1349
7536,5541433,173093,43013,1295
7537,5587475,174136,46042,1043
7538,5636491,175297,49016,1161
7541,5754254,177197,40404,504
7542,5793385,178410,39131,1213
7543,5838532,179603,45147,1193
7544,5884368,180729,45836,1126
7545,5930932,181739,46564,1010
7548,6045457,183472,36487,488
7549,6089506,184563,44049,1091
7550,6121950,185639,32444,1076
7551,6168347,186717,46397,1078
7552,6220448,187697,52101,980
7556,6346807,189541,28942,458
7557,6380139,190716,33332,1175
7558,6418200,191631,38061,915
7559,6465767,192858,47567,1227
7562,6575101,194408,36887,450
7563,6614318,195689,39217,1281
7564,6653586,196686,39268,997
7565,6698896,197535,45310,849
7566,6747783,198484,48887,949
7569,6880902,199797,54952,430
7570,6918293,200738,37391,941
7571,6959842,201828,41549,1090
7572,7005046,202713,45204,885
7573,7059627,203566,54581,853
7576,7176980,204952,37360,350
7577,7220677,205878,43697,926
7578,7262735,206852,42058,974
7579,7309153,207699,46418,847
7580,7362733,208564,53580,865
7583,7507988,210035,62413,429
7584,7550850,210756,42862,721
7585,7603867,211752,53017,996
7586,7660249,212680,56382,928
7587,7719211,213595,58962,915
7590,7863658,214957,48016,351
7591,7918051,215783,54393,826
7592,7977904,216792,59853,1009
7593,8043257,217585,65353,793
7594,8113721,218476,70464,891
7597,8279804,220058,65440,517
7598,8340398,220987,60594,929
7599,8404635,222195,64237,1208
7600,8479765,223023,75130,828
7601,8565062,223953,85297,930
7604,8777994,225701,74638,537
7605,8852381,226684,74387,983
7606,8934263,227702,81882,1018
7607,9024932,228706,90669,1004
7608,9124800,229674,99868,968
7611,9377208,231480,94006,540
7612,9469624,232610,92416,1130
7613,9577702,234226,108078,1616
7614,9699051,235334,121349,1108
7615,9831874,236582,132823,1248
7618,10191572,238798,130444,745
7619,10331256,240262,139684,1464
7620,10474295,241693,143039,1431
7621,10637946,242865,163651,1172
7622,10819442,244255,181496,1390
7625,11280224,246884,166563,796
7626,11441855,248491,161631,1607
7627,11614135,250415,172280,1924
7628,11801643,252376,187508,1961
7629,12000502,254333,198859,1957
7632,12492852,257639,179623,1038
7633,12670710,259848,177858,2209
7634,12851300,262161,180590,2313
7636,13160133,264751,205839,1412
7639,13615321,268031,167658,1270
7640,13799549,270639,184228,2608
7641,14000721,273525,201172,2886
7642,14218459,276381,217738,2856
7643,14449827,279018,231368,2637
7646,15031979,283853,204523,1534
7647,15251693,286674,219714,2821
7648,15471409,289830,219716,3156
7649,15697131,292771,225722,2941
7650,15977147,295726,280016,2955
7653,16569783,301016,200885,1678
7654,16772936,304041,203153,3025
7655,17017763,307652,244827,3611
7656,17255472,310950,237709,3298
7657,17506662,313820,251190,2870
7660,18081996,319773,201518,1963
7661,18283633,323012,201637,3239
7662,18511396,326424,227763,3412
7663,18704907,329248,193511,2824
7667,19363798,335152,189010,1899
7668,19564828,338780,201030,3628
7669,19793777,342588,228949,3808
7670,20024801,346050,231024,3462
7674,20917269,353743,251830,2049
