"date","cases","deaths","new_cases","new_deaths","avg_new_cases","avg_new_deaths"
2020-03-01,88,3,18,2,8.2857,0.4286
2020-03-02,104,6,16,3,8.7143,0.8571
2020-03-03,125,10,21,4,11.4286,1.4286
2020-03-04,161,12,36,2,14.4286,1.7143
2020-03-05,228,12,67,0,24,1.7143
2020-03-06,311,15,83,3,35.1429,2.1429
2020-03-07,428,19,117,4,51.1429,2.5714
2020-03-08,547,22,119,3,65.5714,2.7143
2020-03-09,748,26,201,4,92,2.8571
2020-03-10,1018,31,270,5,127.5714,3
2020-03-11,1263,37,245,6,157.4286,3.5714
2020-03-12,1668,43,405,6,205.7143,4.4286
2020-03-13,2224,50,556,7,273.2857,5
2020-03-14,2898,60,674,10,352.8571,5.8571
2020-03-15,3600,68,702,8,436.1429,6.5714
2020-03-16,4507,91,907,23,537,9.2857
2020-03-17,5906,117,1399,26,698.2857,12.2857
2020-03-18,8350,162,2444,45,1012.4286,17.8571
2020-03-19,12393,212,4043,50,1532.1429,24.1429
2020-03-20,18012,277,5619,65,2255.4286,32.4286
2020-03-21,24528,360,6516,83,3090,42.8571
2020-03-22,33073,458,8545,98,4210.4286,55.7143
2020-03-23,43505,579,10432,121,5571.1429,69.7143
2020-03-24,53938,785,10433,206,6861.7143,95.4286
2020-03-25,68572,1054,14634,269,8603.1429,127.4286
2020-03-26,85570,1353,16998,299,10453.8571,163
2020-03-27,102900,1770,17330,417,12126.8571,213.2857
2020-03-28,123966,2300,21066,530,14205.4286,277.1429
2020-03-29,142486,2718,18520,418,15630.4286,322.8571
2020-03-30,163955,3368,21469,650,17207.1429,398.4286
2020-03-31,188461,4304,24506,936,19217.5714,502.7143
2020-04-01,215391,5325,26930,1021,20974.1429,610.1429
2020-04-02,245108,6541,29717,1216,22791.1429,741.1429
2020-04-03,277426,7932,32318,1391,24932.2857,880.2857
2020-04-04,312525,9488,35099,1556,26937,1026.8571
2020-04-05,338141,10856,25616,1368,27950.7143,1162.5714
2020-04-06,369057,12382,30916,1526,29300.2857,1287.7143
2020-04-07,399394,14616,30337,2234,30133.2857,1473.1429
2020-04-08,431214,16701,31820,2085,30831.8571,1625.1429
2020-04-09,465913,18821,34699,2120,31543.5714,1754.2857
2020-04-10,499386,21084,33473,2263,31708.5714,1878.8571
2020-04-11,531106,23168,31720,2084,31225.8571,1954.2857
2020-04-12,558249,24849,27143,1681,31444,1999
2020-04-13,584018,26613,25769,1764,30708.7143,2033
2020-04-14,610709,29318,26691,2705,30187.8571,2100.2857
2020-04-15,640742,32070,30033,2752,29932.5714,2195.5714
2020-04-16,672355,34418,31613,2348,29491.7143,2228.1429
2020-04-17,703864,36707,31509,2289,29211.1429,2231.8571
2020-04-18,732262,38659,28398,1952,28736.5714,2213
2020-04-19,757596,40179,25334,1520,28478.1429,2190
2020-04-20,784991,42016,27395,1837,28710.4286,2200.4286
2020-04-21,810505,44688,25514,2672,28542.2857,2195.7143
2020-04-22,839336,47059,28831,2371,28370.5714,2141.2857
2020-04-23,873112,49228,33776,2169,28679.5714,2115.7143
2020-04-24,909853,51360,36741,2132,29427,2093.2857
2020-04-25,944261,53326,34408,1966,30285.5714,2095.2857
2020-04-26,970996,54580,26735,1254,30485.7143,2057.2857
2020-04-27,994193,56022,23197,1442,29886,2000.8571
2020-04-28,1018846,58416,24653,2394,29763,1961.1429
2020-04-29,1045401,60930,26555,2514,29437.8571,1981.5714
2020-04-30,1075758,63140,30357,2210,28949.4286,1987.4286
