"Date","Open","High","Low","Adj.Close","Volume","Section","stock_ticker"
7366,19.049999,19.059999,17.510000,18.860001,38738000,1,1
7367,19.660000,19.790001,17.799999,17.850000,35402500,1,1
7368,18.360001,18.549999,17.299999,18.530001,44362100,1,1
7369,17.540001,17.650000,15.980000,16.040001,44656800,1,1
7370,15.020000,17.120001,14.800000,15.970000,54505000,1,1
7373,14.870000,15.790000,14.460000,14.750000,42558000,1,1
7374,15.820000,17.670000,14.610000,17.000000,56972700,1,1
7375,16.309999,16.490000,15.520000,16.260000,43705800,1,1
7376,14.050000,15.750000,13.330000,13.450000,53968500,1,1
7377,15.300000,15.600000,13.120000,14.310000,58376100,1,1
7380,12.410000,16.200001,12.000000,15.920000,84916800,1,1
7381,15.790000,18.490000,14.790000,15.580000,58055800,1,1
7382,14.240000,14.280000,10.170000,11.650000,78458800,1,1
7383,11.600000,12.160000,10.010000,10.290000,71584500,1,1
7384,10.650000,12.000000,10.300000,10.380000,62681800,1,1
7387,10.900000,11.360000,10.010000,10.250000,56427300,1,1
7388,11.960000,14.810000,11.540000,13.920000,101553100,1,1
7389,16.690001,16.990000,14.310000,15.390000,93795100,1,1
7390,16.059999,17.240000,15.160000,15.660000,77530600,1,1
7391,14.980000,15.220000,13.910000,14.040000,50783500,1,1
7394,13.200000,13.220000,11.810000,12.250000,50516800,1,1
7395,12.900000,12.960000,12.100000,12.190000,44851400,1,1
7396,11.450000,11.480000,10.500000,10.690000,56854400,1,1
7397,10.610000,11.030000,10.000000,10.060000,65534600,1,1
7398,10.340000,10.490000,9.090000,9.390000,87018900,1,1
7401,9.720000,9.940000,9.110000,9.500000,94272300,1,1
7402,11.070000,12.200000,10.050000,10.220000,138061000,1,1
7403,10.910000,11.400000,10.500000,11.330000,82718700,1,1
7404,12.640000,13.400000,11.820000,12.510000,117592800,1,1
7408,12.900000,12.950000,11.250000,11.560000,73385500,1,1
7409,12.220000,12.600000,11.750000,11.950000,68039500,1,1
7410,12.520000,12.690000,11.390000,12.290000,124719900,1,1
7411,11.910000,12.030000,11.050000,11.070000,83627000,1,1
7412,11.870000,11.950000,11.500000,11.570000,61279500,1,1
7415,11.150000,11.350000,10.720000,11.060000,58984900,1,1
7416,10.800000,11.220000,10.700000,11.000000,49882300,1,1
7417,11.090000,11.130000,10.020000,10.270000,76140100,1,1
7418,10.360000,10.670000,10.240000,10.250000,54598500,1,1
7419,10.400000,10.500000,9.900000,10.310000,67118200,1,1
7422,10.530000,10.530000,10.000000,10.020000,67378800,1,1
7423,10.290000,11.630000,10.210000,11.260000,114643000,1,1
7424,12.100000,12.890000,12.020000,12.630000,113669400,1,1
7425,11.920000,12.590000,11.260000,12.010000,94921400,1,1
7426,11.410000,11.660000,10.580000,10.640000,99441400,1,1
7429,9.410000,10.170000,9.150000,9.820000,125580000,1,1
7430,10.260000,10.380000,9.500000,9.510000,86943900,1,1
7431,9.580000,9.730000,9.090000,9.250000,68991000,1,1
7432,9.300000,9.800000,9.290000,9.540000,61817000,1,1
7433,9.780000,10.150000,9.680000,10.140000,59186200,1,1
7436,9.920000,10.250000,9.590000,10.100000,48705900,1,1
7437,10.010000,10.200000,9.600000,9.650000,46833100,1,1
7438,9.520000,9.530000,8.830000,9.110000,68704600,1,1
7439,8.770000,9.190000,8.250000,9.150000,72320500,1,1
7440,8.850000,9.360000,8.760000,9.040000,39560500,1,1
7443,9.620000,9.940000,9.360000,9.870000,76109300,1,1
7444,10.140000,10.190000,9.590000,9.640000,62242500,1,1
7445,9.910000,10.140000,9.770000,9.870000,44006700,1,1
7446,9.870000,10.150000,9.830000,9.890000,45785700,1,1
7447,10.020000,10.120000,9.630000,9.700000,37596800,1,1
7451,10.270000,11.280000,10.250000,11.140000,101717000,1,1
7452,12.430000,12.550000,11.070000,11.980000,99314800,1,1
7453,11.780000,11.830000,10.900000,10.980000,70488800,1,1
7454,10.480000,10.870000,10.320000,10.500000,58920300,1,1
7457,10.790000,11.330000,10.620000,11.110000,50313500,1,1
7458,11.400000,11.640000,10.970000,11.220000,49148600,1,1
7459,11.560000,12.200000,11.440000,11.850000,86685300,1,1
7460,12.850000,18.180000,12.630000,16.719999,399432600,1,1
7461,21.250000,22.799999,17.799999,18.590000,428617100,1,1
7464,19.860001,20.360001,19.129999,20.309999,175418900,1,1
7465,18.450001,18.969999,17.610001,18.549999,111234400,1,1
7466,17.690001,18.160000,15.920000,17.020000,163952500,1,1
7467,14.610000,15.680000,14.070000,14.380000,124220800,1,1
7468,16.820000,17.309999,15.670000,16.740000,161101800,1,1
7471,15.270000,17.170000,15.080000,16.700001,122904100,1,1
7472,18.360001,18.440001,16.549999,17.030001,127369700,1,1
7473,16.760000,17.049999,16.160000,16.980000,71706700,1,1
7474,16.370001,17.070000,16.280001,16.490000,64265300,1,1
7475,16.889999,16.940001,15.420000,16.000000,92320200,1,1
7478,14.900000,15.520000,14.720000,14.920000,118994500,1,1
7479,13.760000,14.290000,13.710000,14.000000,204022300,1,1
7480,13.590000,13.900000,12.830000,13.040000,140975500,1,1
7481,12.530000,13.240000,12.180000,13.170000,117383400,1,1
7482,13.200000,13.290000,12.130000,12.380000,108813000,1,1
7485,12.570000,13.510000,12.020000,13.320000,115051100,1,1
7486,13.100000,13.480000,12.880000,13.070000,69607700,1,1
7487,13.480000,14.290000,12.630000,12.810000,116661700,1,1
7488,13.350000,13.420000,12.420000,12.500000,86439500,1,1
