"Date","Open","High","Low","Close","Adj.Close","Volume","Section","stock_ticker"
2020-01-21,27.969999,27.99,27.049999,27.200001,27.099854,16409400,"airlines","AAL"
2020-01-22,27.51,27.91,27.299999,27.32,27.21941,9852600,"airlines","AAL"
2020-01-23,27.389999,28.99,26.040001,28.799999,28.69396,25611100,"airlines","AAL"
2020-01-24,28.85,28.860001,27.01,27.639999,27.538231,18067800,"airlines","AAL"
2020-01-27,26.57,26.6,25.370001,26.110001,26.013866,21573800,"airlines","AAL"
2020-01-28,26.360001,27.120001,26.26,26.9,26.800957,11939200,"airlines","AAL"
2020-01-29,26.879999,27.49,26.74,26.799999,26.701324,9088700,"airlines","AAL"
2020-01-30,26.299999,27.790001,26.26,27.719999,27.617937,10685500,"airlines","AAL"
2020-01-31,27.5,27.52,26.59,26.84,26.741179,11027900,"airlines","AAL"
2020-02-03,26.93,27.67,26.74,27.16,27.059999,7630400,"airlines","AAL"
2020-02-04,27.68,28.610001,27.549999,28.43,28.43,10832900,"airlines","AAL"
2020-02-05,28.959999,29.24,28.549999,29.1,29.1,8959700,"airlines","AAL"
2020-02-06,29.26,29.450001,28.139999,28.299999,28.299999,8335800,"airlines","AAL"
2020-02-07,28.059999,28.549999,27.780001,28.379999,28.379999,6231800,"airlines","AAL"
2020-02-10,28.190001,28.809999,27.98,28.790001,28.790001,15134300,"airlines","AAL"
2020-02-11,29.059999,29.940001,28.969999,29.84,29.84,8977700,"airlines","AAL"
2020-02-12,30,30.780001,29.99,30.469999,30.469999,9315400,"airlines","AAL"
2020-02-13,30.030001,30.4,29.73,30.09,30.09,9119400,"airlines","AAL"
2020-02-14,30.01,30.27,29.139999,29.200001,29.200001,5524800,"airlines","AAL"
2020-02-18,29.040001,29.35,28.49,28.629999,28.629999,10485100,"airlines","AAL"
2020-02-19,28.84,28.879999,28.309999,28.33,28.33,8400700,"airlines","AAL"
2020-02-20,28.24,28.9,28.200001,28.51,28.51,10093400,"airlines","AAL"
2020-02-21,28.120001,28.299999,27.17,27.82,27.82,11253600,"airlines","AAL"
2020-02-24,25.98,26.110001,25,25.450001,25.450001,21713200,"airlines","AAL"
2020-02-25,25.620001,25.75,23.049999,23.120001,23.120001,22296900,"airlines","AAL"
2020-02-26,23.57,23.75,22.110001,22.309999,22.309999,19610300,"airlines","AAL"
2020-02-27,20.85,22.48,19.77,20.6,20.6,31897300,"airlines","AAL"
2020-02-28,19.799999,20.35,18.77,19.049999,19.049999,37093200,"airlines","AAL"
2020-03-02,19.049999,19.059999,17.51,18.860001,18.860001,38738000,"airlines","AAL"
2020-03-03,19.66,19.790001,17.799999,17.85,17.85,35402500,"airlines","AAL"
2020-03-04,18.360001,18.549999,17.299999,18.530001,18.530001,44362100,"airlines","AAL"
2020-03-05,17.540001,17.65,15.98,16.040001,16.040001,44656800,"airlines","AAL"
2020-03-06,15.02,17.120001,14.8,15.97,15.97,54505000,"airlines","AAL"
2020-03-09,14.87,15.79,14.46,14.75,14.75,42558000,"airlines","AAL"
2020-03-10,15.82,17.67,14.61,17,17,56972700,"airlines","AAL"
2020-03-11,16.309999,16.49,15.52,16.26,16.26,43705800,"airlines","AAL"
2020-03-12,14.05,15.75,13.33,13.45,13.45,53968500,"airlines","AAL"
2020-03-13,15.3,15.6,13.12,14.31,14.31,58376100,"airlines","AAL"
2020-03-16,12.41,16.200001,12,15.92,15.92,84916800,"airlines","AAL"
2020-03-17,15.79,18.49,14.79,15.58,15.58,58055800,"airlines","AAL"
2020-03-18,14.24,14.28,10.17,11.65,11.65,78458800,"airlines","AAL"
2020-03-19,11.6,12.16,10.01,10.29,10.29,71584500,"airlines","AAL"
2020-03-20,10.65,12,10.3,10.38,10.38,62681800,"airlines","AAL"
2020-03-23,10.9,11.36,10.01,10.25,10.25,56427300,"airlines","AAL"
2020-03-24,11.96,14.81,11.54,13.92,13.92,101553100,"airlines","AAL"
2020-03-25,16.690001,16.99,14.31,15.39,15.39,93795100,"airlines","AAL"
2020-03-26,16.059999,17.24,15.16,15.66,15.66,77530600,"airlines","AAL"
2020-03-27,14.98,15.22,13.91,14.04,14.04,50783500,"airlines","AAL"
2020-03-30,13.2,13.22,11.81,12.25,12.25,50516800,"airlines","AAL"
2020-03-31,12.9,12.96,12.1,12.19,12.19,44851400,"airlines","AAL"
2020-04-01,11.45,11.48,10.5,10.69,10.69,56854400,"airlines","AAL"
2020-04-02,10.61,11.03,10,10.06,10.06,65534600,"airlines","AAL"
2020-04-03,10.34,10.49,9.09,9.39,9.39,87018900,"airlines","AAL"
2020-04-06,9.72,9.94,9.11,9.5,9.5,94272300,"airlines","AAL"
2020-04-07,11.07,12.2,10.05,10.22,10.22,138061000,"airlines","AAL"
2020-04-08,10.91,11.4,10.5,11.33,11.33,82718700,"airlines","AAL"
2020-04-09,12.64,13.4,11.82,12.51,12.51,117592800,"airlines","AAL"
2020-04-13,12.9,12.95,11.25,11.56,11.56,73385500,"airlines","AAL"
2020-04-14,12.22,12.6,11.75,11.95,11.95,68039500,"airlines","AAL"
2020-04-15,12.52,12.69,11.39,12.29,12.29,124719900,"airlines","AAL"
2020-04-16,11.91,12.03,11.05,11.07,11.07,83627000,"airlines","AAL"
2020-04-17,11.87,11.95,11.5,11.57,11.57,61279500,"airlines","AAL"
2020-04-20,11.15,11.35,10.72,11.06,11.06,58984900,"airlines","AAL"
2020-04-21,10.8,11.22,10.7,11,11,49882300,"airlines","AAL"
2020-04-22,11.09,11.13,10.02,10.27,10.27,76140100,"airlines","AAL"
